n,code,p,gp0_fails,gp1_fails,gp2_fails,ref_fails
1000000,surface3,1e-3,758,839,564,564
1000000,surface3,2e-3,3025,2885,2382,2384
1000000,surface3,3e-3,6287,5913,5283,5283
1000000,surface3,5e-3,16639,15246,14176,14182
1000000,surface3,1e-2,57760,53235,51561,51560
1000000,surface5,1e-3,132,106,63,63
1000000,surface5,2e-3,970,660,457,457
1000000,surface5,3e-3,3107,2079,1566,1566
1000000,surface5,5e-3,12703,9155,7569,7570
1000000,surface5,1e-2,78314,61735,57073,57070
1000000,surface7,1e-3,15,11,4,4
1000000,surface7,2e-3,252,127,74,74
1000000,surface7,3e-3,1233,594,361,361
1000000,surface7,5e-3,8854,4901,3499,3499
1000000,surface7,1e-2,95666,66279,58166,58166
